date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:31	29292/29292	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:07:00%20GMT	https://demos.creative-tim.com/light-bootstrap-dashboard-pro/examples/dashboard.html	C:/My%20Web%20Sites/dashboard-1/demos.creative-tim.com/light-bootstrap-dashboard-pro/examples/dashboard.html	(from )
13:02:32	1897/1897	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Jun%202022%2007:32:32%20GMT	https://demos.creative-tim.com/robots.txt		(from )
13:02:32	1928/1928	---M--	200	added ('OK')	image/png	etag:%225d22f9a4-98e%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro/assets/img/apple-icon.png	C:/My%20Web%20Sites/dashboard-1/demos.creative-tim.com/light-bootstrap-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro/examples/dashboard.html)
13:02:32	9127/9127	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Jun%202022%2007:32:33%20GMT	https://demos.creative-tim.com/light-bootstrap-dashboard-pro/assets/img/favicon.png	C:/My%20Web%20Sites/dashboard-1/demos.creative-tim.com/light-bootstrap-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro/examples/dashboard.html)
13:02:33	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:56%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	C:/My%20Web%20Sites/dashboard-1/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro/examples/dashboard.html)
13:02:34	162631/162631	---M--	200	added ('OK')	image/jpeg	etag:%22605ffce8d0dc48c9a78f164440570429%22	https://s3.amazonaws.com/creativetim_bucket/products/34/original/opt_lbd_pro_thumbnail.jpg	C:/My%20Web%20Sites/dashboard-1/s3.amazonaws.com/creativetim_bucket/products/34/original/opt_lbd_pro_thumbnail.jpg	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro/examples/dashboard.html)
13:02:34	124917/124917	---M-Z	200	added ('OK')	text/css	etag:W/%225d22f9a4-1e7f5%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/dashboard-1/demos.creative-tim.com/light-bootstrap-dashboard-pro/assets/css/bootstrap.min.css	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro/examples/dashboard.html)
13:02:34	226536/226536	---MCZ	200	added ('OK')	text/css	etag:W/%225d22f9a4-48392%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro/assets/css/light-bootstrap-dashboard.css?v=2.0.1	C:/My%20Web%20Sites/dashboard-1/demos.creative-tim.com/light-bootstrap-dashboard-pro/assets/css/light-bootstrap-dashboard790f.css	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro/examples/dashboard.html)
13:02:35	5546/5546	---MCZ	200	added ('OK')	text/css	etag:W/%225d22f9a4-1e8e%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro/assets/css/demo.css	C:/My%20Web%20Sites/dashboard-1/demos.creative-tim.com/light-bootstrap-dashboard-pro/assets/css/demo.css	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro/examples/dashboard.html)
13:02:35	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2007%20Jun%202022%2007:32:35%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/dashboard-1/www.googletagmanager.com/gtm.85445.delayed	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro/examples/dashboard.html)
